"","long","lat","group","region","subregion","X","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","Citizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
"1",-94.2458267211914,41.5050621032715,755,"iowa","adair",1,7426,3667,3759,1.5,97.2,0.4,0,0.3,0,5779,46526,2513,25990,1343,10.6,13.9,27.1,15.5,21,17.6,18.8,79.7,9.7,0.3,3.4,1.2,5.8,22.1,3776,73.6,15.6,10.6,0.1,3.2
"2",-94.2458267211914,41.1612892150879,755,"iowa","adair",1,7426,3667,3759,1.5,97.2,0.4,0,0.3,0,5779,46526,2513,25990,1343,10.6,13.9,27.1,15.5,21,17.6,18.8,79.7,9.7,0.3,3.4,1.2,5.8,22.1,3776,73.6,15.6,10.6,0.1,3.2
"3",-94.4864654541016,41.1612892150879,755,"iowa","adair",1,7426,3667,3759,1.5,97.2,0.4,0,0.3,0,5779,46526,2513,25990,1343,10.6,13.9,27.1,15.5,21,17.6,18.8,79.7,9.7,0.3,3.4,1.2,5.8,22.1,3776,73.6,15.6,10.6,0.1,3.2
"4",-94.7099227905273,41.1612892150879,755,"iowa","adair",1,7426,3667,3759,1.5,97.2,0.4,0,0.3,0,5779,46526,2513,25990,1343,10.6,13.9,27.1,15.5,21,17.6,18.8,79.7,9.7,0.3,3.4,1.2,5.8,22.1,3776,73.6,15.6,10.6,0.1,3.2
"5",-94.7099227905273,41.5050621032715,755,"iowa","adair",1,7426,3667,3759,1.5,97.2,0.4,0,0.3,0,5779,46526,2513,25990,1343,10.6,13.9,27.1,15.5,21,17.6,18.8,79.7,9.7,0.3,3.4,1.2,5.8,22.1,3776,73.6,15.6,10.6,0.1,3.2
"6",-94.2458267211914,41.5050621032715,755,"iowa","adair",1,7426,3667,3759,1.5,97.2,0.4,0,0.3,0,5779,46526,2513,25990,1343,10.6,13.9,27.1,15.5,21,17.6,18.8,79.7,9.7,0.3,3.4,1.2,5.8,22.1,3776,73.6,15.6,10.6,0.1,3.2
"7",-94.7099227905273,41.1612892150879,756,"iowa","adams",2,3892,1942,1950,0.8,97,0.7,0,0.3,0,3061,48043,5022,26428,1484,10.2,9.5,36.3,12.8,18.8,11.2,20.9,76.8,11.4,0.7,2.7,0.9,7.5,20.6,1994,72.9,12.8,13.9,0.4,3.2
"8",-94.4864654541016,41.1612892150879,756,"iowa","adams",2,3892,1942,1950,0.8,97,0.7,0,0.3,0,3061,48043,5022,26428,1484,10.2,9.5,36.3,12.8,18.8,11.2,20.9,76.8,11.4,0.7,2.7,0.9,7.5,20.6,1994,72.9,12.8,13.9,0.4,3.2
"9",-94.4864654541016,40.9034576416016,756,"iowa","adams",2,3892,1942,1950,0.8,97,0.7,0,0.3,0,3061,48043,5022,26428,1484,10.2,9.5,36.3,12.8,18.8,11.2,20.9,76.8,11.4,0.7,2.7,0.9,7.5,20.6,1994,72.9,12.8,13.9,0.4,3.2
"10",-94.9333801269531,40.9034576416016,756,"iowa","adams",2,3892,1942,1950,0.8,97,0.7,0,0.3,0,3061,48043,5022,26428,1484,10.2,9.5,36.3,12.8,18.8,11.2,20.9,76.8,11.4,0.7,2.7,0.9,7.5,20.6,1994,72.9,12.8,13.9,0.4,3.2
"11",-94.9333801269531,41.1555557250977,756,"iowa","adams",2,3892,1942,1950,0.8,97,0.7,0,0.3,0,3061,48043,5022,26428,1484,10.2,9.5,36.3,12.8,18.8,11.2,20.9,76.8,11.4,0.7,2.7,0.9,7.5,20.6,1994,72.9,12.8,13.9,0.4,3.2
"12",-94.7099227905273,41.1612892150879,756,"iowa","adams",2,3892,1942,1950,0.8,97,0.7,0,0.3,0,3061,48043,5022,26428,1484,10.2,9.5,36.3,12.8,18.8,11.2,20.9,76.8,11.4,0.7,2.7,0.9,7.5,20.6,1994,72.9,12.8,13.9,0.4,3.2
"13",-91.2263412475586,43.4989547729492,757,"iowa","allamakee",3,14060,7169,6891,5.4,92,0.7,0.1,0.3,0,10493,45890,2455,26077,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6
"14",-91.2263412475586,43.4531211853027,757,"iowa","allamakee",3,14060,7169,6891,5.4,92,0.7,0.1,0.3,0,10493,45890,2455,26077,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6
"15",-91.2034225463867,43.4302024841309,757,"iowa","allamakee",3,14060,7169,6891,5.4,92,0.7,0.1,0.3,0,10493,45890,2455,26077,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6
"16",-91.1690444946289,43.413013458252,757,"iowa","allamakee",3,14060,7169,6891,5.4,92,0.7,0.1,0.3,0,10493,45890,2455,26077,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6
"17",-91.15185546875,43.3614463806152,757,"iowa","allamakee",3,14060,7169,6891,5.4,92,0.7,0.1,0.3,0,10493,45890,2455,26077,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6
"18",-91.0716400146484,43.2984199523926,757,"iowa","allamakee",3,14060,7169,6891,5.4,92,0.7,0.1,0.3,0,10493,45890,2455,26077,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6
"19",-91.0601806640625,43.2640419006348,757,"iowa","allamakee",3,14060,7169,6891,5.4,92,0.7,0.1,0.3,0,10493,45890,2455,26077,1292,10.9,15.3,29.8,15.2,19.6,15.1,20.4,76,10.7,0.1,6.6,1.4,5.1,24.3,6904,77.9,10.1,10.8,1.2,6
